Title,Type,Status,Priority,Sprint,Epic,Tasks,Timeline,Engineers,Description,Front / Back,Property,Sub-Epic,User Type & Page,expected date,front/back end?
front end login flow (generic for both users),Epic ⛰️,,,,,"create all blank pages for login/signup workflow & name it with a descriptive text box (SMK%20RoadMap/create%20all%20blank%20pages%20for%20login%20signup%20workflow%20&%20dede3eda4b1682cdbb0a013d6bca72c4.csv), add only the MAJOR button components for each page of the LOGIN/SIGNUP flow (SMK%20RoadMap/add%20only%20the%20MAJOR%20button%20components%20for%20each%20page%20b3ae3eda4b1682efb16781dbfe99f0a5.csv)","November 1, 2021 → December 22, 2021",,,,,,,,front end
"parent user flow ",Epic ⛰️,,,,,,"November 24, 2021 → December 29, 2021",,,,,,,,front end
"child user flow ",Epic ⛰️,In Progress,,,,"Untitled (https://www.notion.so/ca4fd0a8c1ea46f8afe46a12b1a21307?pvs=21), Untitled (https://www.notion.so/220b8d355d214f55bcc9196d2138613f?pvs=21), Untitled (https://www.notion.so/bc3a06b57a7c4ecdafe38cbc2509cc30?pvs=21), finalize list of badges (SMK%20RoadMap/finalize%20list%20of%20badges%20600e3eda4b1683a9b502816dd2b094b1.csv)","November 10, 2021 → December 29, 2021",,,,,,,,front end
Connect Transaction with Parent,Task 🔨,Not Started,P4,,,,,"alex, du, nishant",,Back End,,,,"January 19, 2022",back end
Connect Transaction with Child,Task 🔨,Not Started,P3,,,,,"alex, du, nishant",,Back End,,,,"December 29, 2021",back end
CRUD Transaction,Task 🔨,Not Started,P1 🔥,,,,,"alex, du, nishant",,Back End,,,,"December 22, 2021",back end
CRUD Child,Task 🔨,Complete 🙌,P1 🔥,,,,,"alex, du, nishant",,Back End,,,,"December 8, 2021",back end
Link parent and child,Task 🔨,Not Started,P3,,,,,"alex, du, nishant",,Back End,,,,"January 5, 2022",back end
CRUD Parent,Task 🔨,Complete 🙌,P2,,,,,du,,Back End,,,,"December 8, 2021",back end
backend,Epic ⛰️,,,,,,"November 1, 2021 → January 26, 2022",,,,,,,,back end
Finish baseline backend,Epic ⛰️,In Progress,P1 🔥,,,,"December 21, 2021","alex, du",,,,,,,back end
bring child workflow's styles up to speed with wireframe designs,,,,Sprint 2,,,,,,,,,,,
update parent workflow's styles/component to match wireframes,,,,Sprint 3,,,,,,,,,,,
link parent workflow to backend,,,,Sprint 3,,,,,,,,,,,
link child front end to backend,,,,Sprint 2,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
finish restructuring of parent workflow's src files,,,,Sprint 3,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
